Codigo,Nombre,market samaria Vendido,market playa dormida Vendido,market two towers Vendido,principal Vendido,donaciones Vendido,market samaria Inventario,market playa dormida Inventario,market two towers Inventario,principal Inventario,donaciones Inventario,Total vendido,Total inventario,Total en lista,Descuentos,Total Neto,Devoluciones,Total ajustado,Costo,Comision,Ganancia,%,Categoria,SubCategoria,Marca,Unnamed: 26
950,Club Colombia Dorada 330ml,2999,863,282,0,0,145 inv,637 inv,82 inv,0 inv,0 inv,4144,864,"$12,188,235",0,12188236,0,12188236,8525355,0,3662881,30.1%,1. Cervezas,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
550,Cerveza Aguila Original X330ml,2175,372,242,0,0,295 inv,351 inv,41 inv,1 inv,1 inv,2789,689,"$7,735,210",0,7735211,0,7735211,5337833,0,2397378,31.0%,1. Cervezas,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
557,Cerveza Coronita 210 Ml,1058,686,474,0,0,327 inv,-1 inv,48 inv,0 inv,0 inv,2218,374,"$6,523,529",5588,6517942,97059,6420883,4424872,0,1996010,31.1%,1. Cervezas,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1964,Limon Criollo,1169,530,35,0,0,-290 inv,0 inv,-10 inv,0 inv,0 inv,1734,-300,"$842,000",2460,839540,0,839540,480226,0,359314,42.8%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2229,Cerveza Poker Lata X330ml,1126,191,96,0,0,740 inv,390 inv,190 inv,0 inv,0 inv,1413,1320,"$4,155,882",0,4155883,0,4155883,2732837,0,1423046,34.2%,1. Cervezas,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1190,Garrafa Agua 5 Litros Cristal,838,184,75,0,0,138 inv,14 inv,17 inv,0 inv,0 inv,1097,169,"$9,434,200",27520,9406680,8600,9398080,6615375,0,2782705,29.6%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1038,Hielo Induro,636,327,83,0,0,-261 inv,102 inv,24 inv,0 inv,0 inv,1046,-135,"$6,276,000",7200,6268800,0,6268800,3661065,0,2607735,41.6%,3. Aguas Y Bebidas Sin Alcohol,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4172,Agua Cristal 600 Ml Sin Gas,693,275,77,0,0,139 inv,82 inv,39 inv,0 inv,0 inv,1045,260,"$2,090,000",7200,2082800,0,2082800,1090044,0,992756,47.7%,3. Aguas Y Bebidas Sin Alcohol,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
565,Corona Extra 269 Ml Lata,785,116,135,0,0,-41 inv,-3 inv,0 inv,0 inv,0 inv,1036,-44,"$3,482,353",5378,3476975,0,3476975,1928725,0,1548250,44.5%,sin categoria,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4259,Stella Artois Lata X 269 Ml,492,349,114,0,0,-232 inv,-571 inv,60 inv,0 inv,0 inv,955,-743,"$3,370,588",6353,3364235,0,3364235,2015630,0,1348605,40.1%,1. Cervezas,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1875,Huevos Kike X15 L,622,203,51,0,0,21 inv,24 inv,-1 inv,0 inv,0 inv,876,44,"$12,264,000",25200,12238800,14000,12224800,7638136,0,4586664,37.5%,2. Huevos Y Abarrotes,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
225,Cola Y Pola  Refajo 330ml,583,163,84,0,0,218 inv,318 inv,80 inv,1 inv,1 inv,830,618,"$2,371,429",22286,2349143,0,2349143,1488235,0,860908,36.6%,sin categoria,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
282,Tomate Unidad,538,250,2,0,0,-185 inv,-103 inv,0 inv,0 inv,0 inv,790,-288,"$877,100",890,876210,0,876210,490810,0,385400,44.0%,Fruver,,FRUVER,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1615,Agua Cristal 1 Lt. Pet,531,143,71,0,0,56 inv,99 inv,95 inv,0 inv,0 inv,745,250,"$2,235,000",6300,2228700,0,2228700,1016665,0,1212035,54.4%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1525,Cerveza Aguila Light X330ml,624,95,20,0,0,275 inv,233 inv,138 inv,0 inv,0 inv,739,646,"$2,049,328",0,2049328,0,2049328,1488127,0,561201,27.4%,1. Cervezas,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4088,DOMICILIO PLAYA DORMIDA,0,664,0,0,0,0 inv,0 inv,0 inv,0 inv,0 inv,664,0,"$1,328,000",200,1327800,0,1327800,0,0,1327800,100.0%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
471,Coca Cola 1.5 Litros  Original,348,230,53,0,0,75 inv,35 inv,33 inv,0 inv,0 inv,631,143,"$4,082,941",102883,3980060,6471,3973589,2606976,0,1366613,34.4%,3. Aguas Y Bebidas Sin Alcohol,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2807,Cerveza Costeña 330ml,605,0,0,0,0,122 inv,170 inv,42 inv,0 inv,0 inv,605,334,"$1,626,891",0,1626891,0,1626891,1141600,0,485291,29.8%,3. Aguas Y Bebidas Sin Alcohol,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4086,DOMICILIO SAMARIA INTERNO,599,0,0,0,0,0 inv,0 inv,0 inv,0 inv,0 inv,599,0,"$1,510,084",0,1510085,0,1510085,0,0,1510085,100.0%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4257,Stella Artois Botella X300ml,414,118,28,0,0,253 inv,450 inv,58 inv,0 inv,0 inv,560,761,"$2,164,706",0,2164706,0,2164706,1509763,0,654943,30.3%,1. Cervezas,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2996,Papel Familia Acolchamax 3 Hojas,443,79,6,0,0,480 inv,321 inv,6 inv,0 inv,0 inv,528,807,"$1,774,790",5378,1769411,0,1769411,743516,0,1025895,58.0%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
416,BOLSA CAMBREL PEQUEÑA,305,137,84,0,0,2089 inv,-102 inv,0 inv,2000 inv,0 inv,526,3987,"$1,052,000",4200,1047800,2000,1045800,680285,0,365515,35.0%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4299,Heineken Lata 310ml,203,234,88,0,0,165 inv,2 inv,66 inv,0 inv,0 inv,525,233,"$1,544,118",5294,1538824,0,1538824,942723,0,596101,38.7%,1. Cervezas,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4,Botellon Brisa 20 Lts,52,451,21,0,0,-5 inv,128 inv,7 inv,0 inv,0 inv,524,130,"$8,908,000",0,8908000,0,8908000,6461549,0,2446451,27.5%,3. Aguas Y Bebidas Sin Alcohol,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
455,Coca Cola Pet 400 Ml,275,192,45,0,0,-26 inv,152 inv,26 inv,0 inv,0 inv,512,152,"$1,505,882",26177,1479706,0,1479706,966608,0,513098,34.7%,3. Aguas Y Bebidas Sin Alcohol,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1458,Agua Cristal C/gas 600ml,300,150,17,0,0,21 inv,30 inv,11 inv,0 inv,0 inv,467,62,"$934,000",7000,927000,0,927000,529779,0,397221,42.9%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2674,Banano Xund,309,150,0,0,0,-36 inv,0 inv,0 inv,0 inv,0 inv,459,-36,"$274,428",3140,271288,0,271288,180442,0,90846,33.5%,sin categoria,,FRUVER,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1457,Agua Cristal 600 Ml Sin Gas,423,27,0,0,0,368 inv,40 inv,101 inv,0 inv,0 inv,450,509,"$900,000",6200,893800,0,893800,493765,0,400035,44.8%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
467,Coca Cola Sin Azucar 1.5l,212,190,47,0,0,107 inv,73 inv,18 inv,0 inv,2 inv,449,200,"$2,867,563",5109,2862453,6387,2856066,1860048,0,996018,34.9%,sin categoria,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2714,BOLSA DE AGUA BLUE 5 LITROS,309,106,28,0,0,60 inv,37 inv,15 inv,0 inv,0 inv,443,112,"$1,772,000",12000,1760000,0,1760000,443000,0,1317000,74.8%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
464,Coca Cola Sin Azucar Pet 400 Ml,188,195,43,0,0,114 inv,84 inv,20 inv,-2 inv,38 inv,426,254,"$1,073,950",3025,1070925,5042,1065883,520731,0,545152,51.1%,3. Aguas Y Bebidas Sin Alcohol,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2646,AREPA CON SAL LAS PAISAS 450 G,332,68,16,0,0,51 inv,82 inv,2 inv,0 inv,0 inv,416,135,"$1,456,000",0,1456000,0,1456000,832000,0,624000,42.9%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1826,GOMITAS TRULULU,216,159,14,0,0,79 inv,148 inv,17 inv,0 inv,0 inv,389,244,"$817,227",630,816597,0,816597,321512,0,495084,60.6%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2827,HELADO DE CHOCOCONO X90G,158,124,89,0,0,124 inv,22 inv,8 inv,0 inv,0 inv,371,154,"$1,153,529",5286,1148243,0,1148243,754476,0,393767,34.3%,sin categoria,,HELADOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
