Fecha,Punto,Codigo,Producto,Factura,Precio,Otros Impuestos,IVA %,IVA $,Total Unitario,Cantidad,Total
29/12/24,Market Playa Dormida,3877,COMPRA BOTELLONES,29122024P1,12500.0,0.0,0,0.0,12500.0,8,100000.0
29/12/24,Market Two Towers,1454,Redbull En Lata S/azucar X 250ml,SM07254785,4705.88,0.0,19,894.12,5600.0,8,44800.0
29/12/24,Market Two Towers,1464,H2o Limonata X 600 Ml,SM07254785,1820.73,0.0,19,345.94,2166.67,7,15166.68
29/12/24,Market Two Towers,1190,Garrafa Agua 5 Litros Cristal,SM07254785,6700.0,0.0,0,0.0,6700.0,8,53600.0
29/12/24,Market Two Towers,3633,Gatorade Sin Azucar Naranja X 500,SM07254785,2591.04,0.0,19,492.3,3083.34,15,46250.06
29/12/24,Market Two Towers,1469,Gaseosa Canada Dry 1.5,SM07254785,3501.4,0.0,19,665.27,4166.67,6,25000.0
29/12/24,Market Two Towers,2610,Agua Cristal Botellon 20lts,SM07254785,13350.31,0.0,0,0.0,13350.31,13,173554.0
29/12/24,Market Two Towers,4693,H2OH  TORONJA X 600 ML,SM07254785,1820.73,0.0,19,345.94,2166.67,8,17333.35
29/12/24,Market Two Towers,1453,Redbull Lata X 250ml,SM07254785,4842.44,0.0,19,920.06,5762.5,8,46100.0
29/12/24,Market Two Towers,1468,Gaseosa Bretaña 1.5 Litros,SM07254785,2801.12,0.0,0,0.0,2801.12,12,33613.44
29/12/24,Market Two Towers,4962,COLOMBIANA 1.5,SM07254785,3155.95,0.0,19,599.63,3755.58,6,22533.48
29/12/24,Market Two Towers,1615,Agua Cristal 1 Lt. Pet,SM07254785,1428.53,0.0,0,0.0,1428.53,28,39998.75
29/12/24,Market Two Towers,4375,Gatorade Azul X500ml,SM07254785,2591.04,0.0,19,492.3,3083.34,12,37000.05
28/12/24,Market Samaria,4299,Heineken Lata 310ml,SM07254146,1845.75,0.0,19,350.69,2196.44,48,105429.24
28/12/24,Market Samaria,4036,IMPOCONSUMO,SM07254146,8570.88,0.0,0,0.0,8570.88,1,8570.88
24/12/24,Market Samaria,4299,Heineken Lata 310ml,SM07248814,1845.75,178.56,19,350.69,2375.0,72,171000.18
24/12/24,Market Playa Dormida,1458,Agua Cristal C/gas 600ml,SM07248636,1254.17,0.0,0,0.0,1254.17,24,30100.08
24/12/24,Market Playa Dormida,2601,Acqua Frutos Rojos 400ml,SM07248636,1052.94,0.0,19,200.06,1253.0,15,18794.98
24/12/24,Market Playa Dormida,1190,Garrafa Agua 5 Litros Cristal,SM07248636,6700.0,0.0,0,0.0,6700.0,24,160800.0
24/12/24,Market Playa Dormida,4,Botellon Brisa 20 Lts,SM07248636,13350.0,0.0,0,0.0,13350.0,1,13350.0
24/12/24,Market Playa Dormida,1468,Gaseosa Bretaña 1.5 Litros,SM07248636,2801.12,0.0,0,0.0,2801.12,12,33613.45
24/12/24,Market Playa Dormida,2238,Postobon Acqua Manzana X400ml,SM07248636,1052.94,0.0,19,200.06,1253.0,15,18794.98
24/12/24,Market Two Towers,1190,Garrafa Agua 5 Litros Cristal,SM07248668,6700.0,0.0,0,0.0,6700.0,20,134000.0
24/12/24,Market Two Towers,2610,Agua Cristal Botellon 20lts,SM07248668,13350.0,0.0,0,0.0,13350.0,10,133500.0
24/12/24,Market Two Towers,1622,Soda Hatsu Limon & Hierbabuena,SM07248668,2135.85,0.0,19,405.81,2541.66,6,15249.97
24/12/24,Market Two Towers,162,Bretaña  Friopack X300ml,SM07248668,2120.83,0.0,0,0.0,2120.83,2,4241.66
24/12/24,Market Two Towers,1462,JUGO HIT NARANJA PIÑA X 500ML,SM07248668,1960.78,0.0,19,372.55,2333.33,6,13999.97
24/12/24,Market Two Towers,4676,HIT LULO 500 ML,SM07248668,1960.78,0.0,19,372.55,2333.33,6,13999.97
24/12/24,Market Two Towers,1453,Redbull Lata X 250ml,SM07248668,4842.44,0.0,19,920.06,5762.5,4,23050.0
24/12/24,Market Two Towers,1461,Jugo Hit De Frutas Tropicales X 500ml,SM07248668,1960.78,0.0,19,372.55,2333.33,6,13999.97
24/12/24,Market Two Towers,4365,BRETAÑA MANGON & PIÑA,SM07248668,3894.29,0.0,5,194.71,4089.0,6,24534.03
24/12/24,Market Two Towers,4363,Bretaña Piña Colada,SM07248668,3182.41,0.0,5,159.12,3341.53,6,20049.15
24/12/24,Market Two Towers,4036,IMPOCONSUMO,SM07248668,6894.0,0.0,0,0.0,6894.0,1,6894.0
21/12/24,Market Playa Dormida,3854,Acqua Manzana 1.5,SM07243818,2352.94,0.0,19,447.06,2800.0,12,33599.98
21/12/24,Market Playa Dormida,2610,Agua Cristal Botellon 20lts,SM07243818,13350.0,0.0,0,0.0,13350.0,4,53400.0
21/12/24,Market Playa Dormida,1458,Agua Cristal C/gas 600ml,SM07243818,1254.17,0.0,0,0.0,1254.17,24,30100.08
21/12/24,Market Playa Dormida,1620,Gatorade Tropical Fruit X 500ml,SM07243818,2591.04,0.0,19,492.3,3083.34,12,37000.05
21/12/24,Market Playa Dormida,3606,Gatorade Fresa Kiwi Sin Azucar X500ml,SM07243818,2591.04,0.0,19,492.3,3083.34,15,46250.06
21/12/24,Market Playa Dormida,1183,Hatsu Soda Sandia & Albahaca 269ml,SM07243818,2135.85,0.0,19,405.81,2541.66,6,15249.97
21/12/24,Market Playa Dormida,162,Bretaña  Friopack X300ml,SM07243818,2120.83,0.0,0,0.0,2120.83,24,50899.92
21/12/24,Market Playa Dormida,2600,Gaseoasa Postobon Acqua Frutos Rojos X1.5l,SM07243818,2352.94,0.0,19,447.06,2800.0,12,33599.98
21/12/24,Market Two Towers,1454,Redbull En Lata S/azucar X 250ml,SM07243802,4705.88,0.0,19,894.12,5600.0,4,22400.0
21/12/24,Market Two Towers,1458,Agua Cristal C/gas 600ml,SM07243802,1254.17,0.0,0,0.0,1254.17,24,30100.08
21/12/24,Market Two Towers,1452,Soda Hatsu Frambuesa & Rosas X300ml,SM07243802,2135.85,0.0,19,405.81,2541.66,6,15249.97
21/12/24,Market Two Towers,2610,Agua Cristal Botellon 20lts,SM07243802,13350.0,0.0,0,0.0,13350.0,4,53400.0
18/12/24,Market Two Towers,2601,Acqua Frutos Rojos 400ml,SM07240119,1052.94,0.0,19,200.06,1253.0,15,18794.98
18/12/24,Market Two Towers,1190,Garrafa Agua 5 Litros Cristal,SM07240119,6700.0,0.0,0,0.0,6700.0,8,53600.0
18/12/24,Market Two Towers,1801,GATORADE MARACUYA,SM07240119,2591.04,0.0,19,492.3,3083.34,12,37000.05
18/12/24,Market Two Towers,2610,Agua Cristal Botellon 20lts,SM07240119,13350.0,0.0,0,0.0,13350.0,3,40050.0
18/12/24,Market Two Towers,67,Lila Te Hatsu Vidrio X400ml,SM07240119,3151.26,0.0,19,598.74,3750.0,6,22500.0
18/12/24,Market Two Towers,4375,Gatorade Azul X500ml,SM07240119,2591.04,0.0,19,492.3,3083.34,12,37000.05
18/12/24,Market Samaria,4933,CAFE TOSTAO PREMIUN SUPREMO X200G,SM07239686,12190.48,0.0,5,609.52,12800.0,8,102400.03
18/12/24,Market Samaria,1460,Jugo Hit De Mango X 500ml,SM07239691,1750.7,0.0,19,332.63,2083.33,12,25000.0
18/12/24,Market Samaria,2610,Agua Cristal Botellon 20lts,SM07239691,13350.0,0.0,0,0.0,13350.0,10,133500.0
